name	description
vbaccelerator	vbAccelerator creates advanced VB, C# and VB.NET Source Code and Controls.
databasemaster	 
databus	Open source time series project for collecting and graphing time series data located at https://github.com/deanhiller/databus
tattletale	an open source JBoss Community project that helps determine the packaging and dependency structures of Java jar, war, and ear packages. 
tbcd	Telephony Binary Coded Decimal (TBCD): GSM developed TBCD, an expansion to BCD where the remaining (unused) bit combinations are used to add specific telephony characters. It is backward compatible to
tcl8.4	an 8th version of the scripting language created by John Ousterhout.
tcolor	used to specify the color of a Windows-only control. It is used by the Color property of many components and by a number of other properties that specify color values.  
bindings-dsl	 
bisonc++	The program bisonc++ creates a C++ parser function and class.
wxocaml	"an OCaml wrapper for the cross-platform C++ GUI API wxWidgets.
"
select-for-xml	Select for XML stands for returning the results of a query in XML format. In SQL server it is possible to retrieve results of a SQL query as XML by specifying the FOR XML clause in the query. In Top l
webloadui	a free desktop tool for performance, stress, scalability and load testing of web servers and services. 
delphi-mocks	 
wwwhisper	 
denotational-semantics	an approach of formalizing the meanings of programming languages by constructing mathematical objects (called denotations) that describe the meanings of expressions from the 
multiple-actions-found	 
fotoware	a provider of Digital Asset Management software. Products include FotoStation, FotoWeb, Index Manager and Color Factory.
zephir	Zephir - Ze(nd Engine) Ph(p) I(nt)r(mediate) - is a high level language that eases the creation and maintainability of C-extensions for PHP.
zipmap	"a clojure function to that returns a map with the keys mapped to the corresponding values.
"
zip.js	A JavaScript library to zip and unzip files
zfc-rbac	 
serendipity	Serendipity - a PHP Weblog/Blog software
sequence-sql	"an SQL-standard out-of-transactions ID source, that provides for multi-threading inserts into the same table without duplication of unique IDs.

In some servers, matured before this SQL "
htmlize.el	a package for exporting the contents of an Emacs buffer to HTML while respecting display properties such as colors, fonts, underlining, invisibility, etc.
httpbinding	 
httpbackend	 
content-adaptation	The Internet Content Adaptation Protocol (ICAP) is a lightweight HTTP-like protocol used to extend transparent proxy servers that are focused on a specific function (ad insertion, virus scanning, cont
maltab-path	 
managed-esent	 
construction-order	 
constantfolding	 
zypper	a command line package manager, which makes use of libzypp.
zucker-reports	 
zipstorer	a C# Class to store and extract uncompressed and deflated files in new or existing Zip files, without any external library. Ref- http://zipstorer.codeplex.com/
mapi-audiocopy	The Sonoma Wire Works AudioCopy/AudioPaste SDK is a standard for Copy/Paste features for audio in iOS.
mapi-audiopaste	The Sonoma Wire Works AudioCopy/AudioPaste SDK is a standard for Copy/Paste features for audio in iOS.
manifest.webapp	 
manatee.trello	a .Net wrapper for the Trello API.
microxml	a subset of XML intended for use in contexts where full XML is, or is perceived to be, too large and complex.
polipo	a lightweight proxy server capable of forwarding and caching.
policy-based-management	 
polyglot-persistance	Polyglot Persistence, like polyglot programming, is all about choosing and/or combining the right persistence option for the task at hand.
podofo	a C++ library to work with the PDF file format.
pogoscript	a programming language that emphasises readability, is friendly to domain specific languages and compiles to regular Javascript.
point4d	 
poet	 
plugin-profiler	 
tridion-events	SDL Tridion 2011 comes with a new implementation of the event system.
ipersistfile	Implement IPersistFile when you need to read or write information from a separate file, which could be of any file format.
treasure-data	a Hadoop-based Big Data as-a-Service service.
tree-rotation	an operation on a binary tree that changes the structure without interfering with the order of the elements.
bookshelf.js	a promise based ORM for Node.js, built on Knex query builder. It extends the Model & Collection foundations of Backbone.js, providing transaction support, eager/nested-eager relation load
boolean-algebra	 
bonsai-elasticsearch	 
blitzmax	a cross-platform programming language in a style of Object-Oriented BASIC.
blitline	 
socketscan	The [SocketScan Software Development Kit](http://www.socketmobile.com/support/developer/socketscan/) (SDK) enables developers to create custom applications with support for two types of barcode scanne
soar	a general cognitive architecture for developing systems that exhibit intelligent behavior.
snowplow	a powerful, flexible, scalable web analytics platform.
snowflake	 
snobol	SNOBOL (StriNg Oriented and symBOlic Language) is a series of computer programming languages developed between 1962 and 1967 at AT&T Bell Laboratories culminating in SNOBOL4. SNOBOL4 (StriNg Oriented 
invokemangaer	 
couchnode	 
cortado	a streaming applet for Ogg formats, allowing all Java-enabled web browsers to playback Ogg audio and video formats.
andmap	 
androguard	"mainly a tool written in python to play with :

    Dex/Odex (Dalvik virtual machine) (.dex) (disassemble, decompilation),
    APK (Android application) (.apk),
    Android's binary "
android-bootstrap	Android Bootstrap includes a full working implementation of Fragments, Fragment Pager, Account Manager, android-maven-plugin, Dagger, ActionBarSherlock 4, Menu Drawer, ViewPagerIndicator, http-request
android-cards	 
charniak-parser	"A statistical parser designed by Eugene Charniak of Brown University widely used in NLP.  It originates from A ""Maximum-Entropy-Inspired Parser"" Proceedings of NAACL-2000."
charindex	The CHARINDEX function searches a character string for the first occurrence of a target substring, where the search begins at a specified or default character position within the source string.
chaussette	 
cp866	a extended ASCII character table to support Cyrillic characters. 
cpio	a general file archiver utility and its associated file format.
cg-toolkit	The award-winning Cg Toolkit enables software developers to add the latest interactive effects to real-time applications with a comprehensive solution that works across platforms and graphics APIs.
missing-indexes	 
foldergrid	 
mo+	 
mkusertrackingmode	 
mkicloudsync	 
fluid-mac-app-engine	"an engine for turning web sites into Mac applications. (For the XML-based templating system, use the ""Fluid"" tag.)"
fluent-entity-framework	 
fnfilter	 
flvsplitter	 
flvplaybackcaptioning	 
php.gt	A lightweight application development toolkit aimed at automating deployment, streamlining development and respecting web technologies.
photostream	 
php-amqp	"PHP AMQP, or ""Advanced Message Queue Protocol,"" is an open standard middleware layer for message routing and queuing."
php-dao	generate php classes which provide operations on MySQL database. For transactions; use InnoDB engine.
flowpane	 
celp	an acronym for Code-excited linear prediction, a widely used speech coding algorithm that refers to a class of algorithms and not any particular codec. It is also used in MPEG-4 audio speech c
celleditorlistener	 
cellinfo	 
cdetour	 
ccspeed	a class used in Cocos2d game engine. This class is used to control speed of sprite animation.
idlj	The IDL to Java compiler that reads an IDL file and translates it, or maps it, to a Java interface.
ie11-developer-tools	 
idw	 
certutil	 
dog	an esoteric programming language which looks like commands you would give to a dog.
docuware	 
dojo-1.7	 
dojo-deferred	 
namednodemap	 
named-route	 
sizehint	 
sjxp	a small (4 classes) Java XML parser with `XPath`'s. Built for use on Android, web services, web applications or client-side Java.
skdownload	 
scanresult	 
natvis	 
scons-builder	 
svn-notify	SVN::Notify - Subversion activity notification
svggraph	an object-oriented PHP library for creating simple PHP graphs, released as open source under the LGPL v3 license.
sv	 
t-language	 
tntnet	a modular, multithreaded, high performance webapplicationserver for C++.
type-annotation	 
twemproxy	 
twitter-bootstrap-bundle	 
posterization	Posterization of an image entails conversion of a continuous gradation of tone to several regions of fewer tones, with abrupt changes from one tone to another. This process is automated in illustrator
postgres-plus	the name of EnterpriseDB's Postgres Plus and Postgres Plus Advanced Server products. These are not PostgreSQL, they are semi-compatible PostgreSQL variants.
postgres-xc	a multi-master write-scalable PostgreSQL cluster based on shared-nothing architecture.
power-collections	 
sql-tracing	 
srec	 
squirejs	a dependency injector for Require.js users to make mocking dependencies easy!
eric-ide	A Python IDE written in PyQt using the QScintilla editor widget. [Open Source, GPL]
epochx	an open source genetic programming framework. It is designed specifically for the task of analysing evolutionary automatic programming, so is ideal for researchers who require an extensible 
epiphany	 
episerver-mail	 
swank-js	Swank backend for Node.JS and in-browser JavaScript.
svrl	Schematron Verification Report Language
swag	a growing collection of helpers for handlebars templates
swagger-php	The php swagger annotation and parsing library
apropos	 
application-manifest	 
apply-script	a style of doing proofs in the theorem prover Isabelle; an alternative is structured Isar proofs.
opendap	"Stands for ""Open-source Project for a Network Data Access Protocol""  

Home: http://opendap.org/  
Wikipedia: http://en.wikipedia.org/wiki/OPeNDAP"
opendmk	a free and open source implementation of the Java Platform, Standard Edition (Java SE). (Wikipedia)
openglcontext	 
opdispatch	In the D programming language member names not found in a class or struct can be forwarded to a template function named `opDispatch` for resolution. More about this useful feature can be found here: h
rsofia	 
rss-memory	 
rpclib	a simple, easily extendible rpc library that supports multiple protocols and provides several useful tools for creating, publishing and consuming online services in python.
rpostgres	 
r-qgraph	a `R` language package that useing to visualize psychometric data.
canvascontrol	 
capl	 
cllocationcoordinate2d	 
clojure-1.5	 
clojure-js-interop	 
clojure-maven-plugin	 
cloudblobcontainer	 
clif	CLIF, Load Injection Framework.
client-variables	 
cliopatria	a SWI-Prolog-based platform for Semantic Web Applications interfacing to the The Yahoo! User Interface Library (YUI) and libraries that support semantic search.
graphdiff	 
grapelli	 
grails-audit-logging	 
codeigniter-hooks	CodeIgniter's Hooks feature provides a means to tap into and modify the inner workings of the framework without hacking the core files.
codeigniter-activerecord	 
windres	 
b-plus-tree	an n-ary tree with a variable but often large number of children per node, suitable for storing data for efficient retrieval in a block-oriented storage context.  B+ trees are often used 
bpxbatch	 
boxedapppacker	 
winsql	Database administration tool for Windows OS family.
winssl	 
wispr	a draft protocol that allows users to roam between wireless internet service providers.
winmd	 
css-variables	Variables allow to define stylesheet-wide values identified by a token and usable in all CSS declarations.
cstdio	A C++ wrapper for C standard IO header stdio.h.
cts-search	 
curl-language	a reflective object-oriented programming language for interactive web applications.
hcsticky	a cross-browser jQuery plugin that makes any element on your page float. It is used for sidebars on long pages, so they can be visible all the time user scrolls down the page
nosuchmapping	 
notepad2	an open-source text editor for Microsoft Windows.
haskell-wai	The wai package provides a common protocol for the communication between Haskell web applications and web servers.
safaridriver	implemented as a Safari browser extension. The driver inverts the traditional client/server relationship and communicates with the `WebDriver` client using `WebSockets`
sage-abra	 
sage-accounting	 
sample-time	 
same-protocol-policy	 
sanitizer-provider	 
non-iterative	 
non-native	 
noreturn	an attribute in c++ that tells the compiler that a function does not return.
duplicate-detection	 
ryz	a statically typed object-oriented programming language for the JVM.
dyantree	a JavaScript dynamic tree view plugin for jQuery with support for persistence, keyboard, checkboxes, drag'n'drop, and lazy loading.
dustc	a command line tool to compile dust templates.
dragon-mobile	 
drawinrect	 
xmldsig	 
xmlhelper	 
bootstrap-multiselect	 
bootstrap-protocol	a network protocol used by a network client to obtain an IP address from a configuration server. The BOOTP protocol was originally defined in RFC 951.
bootply	a playground for Twitter Bootstrap. Use Bootply to design, prototype, extend, or test the Bootstrap framework.
bootstrap-dropdown	 
bootstrap-app-wizard	a Twitter-Bootstrap add-on to create multi step forms
gxp	a templating system used to generate XML/SGML markup (most often HTML).
boundedmailbox	 
gwtchosen	 
gwt-preprocessor	a reflection implementation for GWT. 
guard-malloc	a special version of the malloc library that replaces the standard library during debugging. Guard Malloc uses several techniques to try and crash your application at the specific poin
option-rom	An Option ROM typically consists of firmware that is called by the system BIOS. 
optionbutton	 
g2log	"an asynchronous, ""crash safe"" logger and design-by-contract library."
gaap	Generally Accepted Accounting Principles. A widely accepted set of rules, conventions, standards, and procedures for reporting financial information, as established by the Financial Accounting Standar
fuzzy-look-up	The Fuzzy Lookup transformation performs data cleaning tasks such as standardizing data, correcting data, and providing missing values. 
galera	a synchronous multi-master cluster for MySQL.
gallium3d	a free software library for 3D graphics device drivers that operates as a layer between the graphics API and the operating system with the primary goal of making driver development easier
gameplay3d	an open-source, cross-platform 3D native C++ game framework aimed at the indie game developer ecosystem.
mydbr	a web-based reporting system for MySQL, MS SQL Server and Sybase.
stepic	Python image steganography
stdnet	 
stencyl	a game creation platform that allows users to create 2D video games for computers, mobile devices, and the web.
stdreplace	 
ef-configuration	 
ef-custom-conventions	 
edwin	the Scheme programming language available from within the EdWin emacs editor.
efactionprovider	 
editviewmodel	 
editpadpro	a powerful and versatile text editor or word processor.
editorbrowsable	 
elephant	"a persistent object database for Common Lisp with full transaction semantics. 
"
libjpcap	 
libmproxy	 
elcimagepickercontroller	 
elasticutils	a Python library that gives you a chainable search API for Elasticsearch as well as some other tools to make it easier to integrate Elasticsearch into your application.
elastisch	A minimalistic Clojure client for ElasticSearch
libusbdotnet	 
libstatusbar	the iOS library that allows applications to show icons in the status bar.
libobjc2	Implementation of the Objective-C runtime for use with LLVM/clang 
libopc	implementation of Part II (OPC) and Part III (MCE) of the ISO/IEC 29500 specification (OOXML)
ratpack	 
yaxlib	a flexible XML serialization library in the .NET Framework.
yapdatabase	A key/value store built atop sqlite for iOS & Mac.
yappi	yet another Python profiler.
yi-editor	a text editor written and extensible in Haskell. The goal of Yi is to provide a flexible, powerful and correct editor core dynamically scriptable in Haskell.
ytplayer	Youtube Player code.google.com/p/ytplayer/
yuglify	a script intended for JavaScript and CSS compression.
zapier	a webapp automation service.
z-combinator	 
z-curve	 
xinha	a WYSIWYG HTML editor component that works in all current browsers. Its configurabilty and extensibility make it easy to build just the right editor for multiple purposes, from a restricted m
xlsread	MATLAB uses a function called xlsread to read Microsoft Excel files (spreadsheet).
nunit-2.6	 
nuget-spec	 
nucleon	a database administration program with a consistent and modern interface.
moq-rt	a mocking framework for Windows Store/WinRT test applications, and is a reimplementation of Moq which is available for the regular .NET framework.
morelinq	This library enhances built in .NET Framework LINQ to Objects with extra methods, in a manner which keeps to the spirit of LINQ. Built in .NET Framework LINQ to Objects is missing a few desirable feat
morena	Image Acquisition Framework for Java Platform - a bridge between the image acquisition hardware (scanners, cameras) and Java world. 
android-root	"A privilege of the Android mobile operating system that allows use to run privileged control (or ""root access"") within Android's subsystem."
android-parallexeffect	 
move-iterator	 
lychrel-numbers	a natural number that cannot form a palindrome through the iterative process of repeatedly reversing its digits and adding the resulting numbers. 
m34	 
magento-widgets	 
pymcu	The Python Controlled Microcontroller
pymtp	LibMTP bindings in Python
pymox	a mock object framework for Python. It is based on EasyMock, a Java mock object framework. 
pyhoca-cli	the command line interface (CLI) of phyoca, a client implementation for X2Go using the project's Python X2Go client API (a Python module). It uses wxPython for rendering graphical deskto
push-queue	A queue system whose subscribers can listen for messages, rather than poll periodically.
pybel	Pybel provides convenience functions and classes that make it simpler to use the Open Babel libraries from Python. Source: Python Pybel page on openbabel.
pvpython	the version of python bundled with the paraview plotting package
mcse	 
meadmiracle	Sliding Image Gallery jQuery Plug-in.
media-keys	 
mef-fluent	a Convention-Based Programming Model, that allows composing applications with conventions as opposed to attributes.
mega.co.nz	 
meiomask	 
ultimategrid	 
knockout-amd-helpers	 
knockout-subscribe	 
knockout-postbox	a Knockout.js plugin designed to use Knockout's basic pub/sub capabilities to facilitate decoupled communication between separate view models / components.
unconstrained-melody	"A utility library for leveraging ""invalid"" C# generic type constraints."
lahey-lf95	 
kunstmaan	 
kuromoji	"a self-contained and very easy to use Japanese morphological analyzer designed for search
http://atilika.org/"
lambdabot	an IRC bot and a tool to aid in Haskell development.
kolab	a secure, scalable and reliable groupware server.
koneki	The Koneki project delivers tools for Machine-to-Machine solutions developers to help them develop, simulate, test and deploy their M2M applications. 
kobol2d	The All-In-One, Ready-To-Go development solution for cocos2d-iphone developers. Open source, ARC enabled, for iOS & Mac OS.
kumulos	The Kumulos (backend as a service or BaaS) cloud platform enables app developers to easily integrate features into iOS & Google Android apps. Cloud backend as a service platforms enable app developers
django-method-cache	 
django-inlinecss	a pluggable Django app that provides an ability to use inline CSS in Django templates
django-lean	A collection of tools for Lean Startups using the Django platform
django-htmlmin	django-html in an HTML minifier for Python with full support for HTML 5. It supports Django, Flask and any other Python web framework. It also provides a command line tool that can be used for static 
uibarmetrics	the Constants to specify metrics to use for appearance of UIBArButtonItem in iOS sdk.
uglifycss	a port of YUI Compressor, for its CSS part, to NodeJS. Its name is a reference to UglifyJS but UglifyCSS is not a CSS parser. Like YUI CSS Compressor, it applies many regexp replacements.
django-socketio	 
django-sse	HTML5 Server-Sent Events integration for Django.
django-sslify	a pluggable django app that forces SSL on a Django site
django-suit	 
jybot	 
justboil.me	 
jwerty	 
jwe	 
jvm-codecache	"a segment of memory called the ""codecache"" where compiled bytecode is stored."
jhiccup	 
kawa	"a language framework written in Java that implements the programming language Scheme, and can be used to implement other languages. It is a part of the GNU Project.
The name ""Kawa"" comes from"
jnario	a framework for writing executable specifications for Java.
jncryptor	a Java library that simplifies encrypting data with AES. The corresponding library for iOS is RNCryptor.
jms-session	 
jminix	A simple embeddable restful JMX console.
sqlalchemyjobstore	 
joomla-framework	a platform for writing web and command line applications in PHP. It is free and open source software, distributed under the GNU General Public License version 2 or later.
jonix	a Java class library for easy retrieval of the ONIX sources (usually files, but not limited to). It supports several ONIX options and is mostly based on the XML-schema provided by the accompa
glue-framework	a PHP micro-framework. It provides one simple service: to maps URLs to Classes.
gnucash	 
ddx	 
ddfilelogger	DDFileLogger part of CocoaLumberjack, an open source file logging package for iOS.
deferrable	 
defaultexceptionhandler	 
dbms-output	 
dbamp	a third party, licenced software package that provides data integration for Salesforce and SQL Server
dir-locals	 
dirtrack	 
direct-composition	a Windows component that enables high-performance bitmap composition with transforms, effects, and animations. Application developers can use the DirectComposition API t
dfdl	a language for describing text and binary data formats.  It allows data to be read from its native format and be presented as an instance of an information set.
developer-id	 
deployment-pipeline	 
dependent-texture-reads	 
aardvark	 
absolute-time	 
display-thread	 
dispose-pattern	 
address-bus	 
addressable-gem	 
addna	 
adfc-config	The default ADF unbounded task flow's XML source file name is adfc-config.xml. Fusion web applications optionally contain one ADF unbounded task flow. The file defines activities, control flow rules, 
address-operator	 
adminer	an open-source database management tool distributed in a single PHP file. It supports MySQL, PostgreSQL, SQLite, MS SQL and Oracle. It focuses mainly on security, user experience, performan
acedao	 
aceshop	a full-featured e-commerce component for Joomla with an easy to use, search engine friendly and a visually appealing interface.
aol-desktop	 
ansi-common-lisp	 
ant4hg	ant4hg allows mercurial operations from within ant.
amazon-simple-pay	 
amdatu	an open source community effort focussed on bringing OSGi to the cloud. It contains components to create RESTful, scalable and distributed web applications that use NoSQL data stores, transp
amstrad	 
angularjs-ng-change	 
asp.net-web-api-helppages	 
array-column	 
athens	A vector graphics framework for Pharo programming environment.
asyncmongo	an asynchronous library for accessing mongo with tornado.ioloop.
apple-numbers	a spreadsheet application developed by Apple Inc. part of the iWork productivity suite.
apple-vpp	 
aria-sdk	MobileRobots' Advanced Robot Interface for Applications (ARIA) is a C++ library (software development toolkit or SDK) for all MobileRobots/ActivMedia platforms. ARIA can dynamically control your robot
ariasystems	 
arj	A software tool designed for creating high-efficiency compressed file archives.
arquillian-drone	 
arm6	 
arm-cortex-m3	 
android-open-accessory	 
jquery-tags-input	a plugin for manipulating tags in html.
jquery-socialist	a jQuery plugin plugin that combines multiple social media feeds in one place.
android-fileprovider	 
android-host-api	 
jruby-win32ole	 
jrmp	the Java technology-specific protocol for looking up and referencing remote objects. It is a wire level protocol running at the level under Remote Method Invoca
jsfonchange	 
jsf-rendering	 
backbone.geppetto	an extension for Backbone.js that implements an event-driven Command framework, decoupling your View/Presenter code from your app's business logic.
jsmovie	jquery-plugin to animate image sequences
fact++	The new generation of FaCT OWL-DL reasoner, based on C++.
fagungis	django-fagungis allows you to easily setup and deploy your django project on your linux server
fakevim	library to emulate Vim in QTextEdit
fakeo	Fake Object data population for .NET.
fakeftp-gem	 
falconview	a PC based Mapping Application developed by the  Georgia Tech Research Institute offering a COM API for integration with other applications. 
false-language	an esoteric programming language designed by Wouter van Oortmerssen, named after his favorite Boolean value.
nsformcell	 
nsfastenumeration	The fast enumeration protocol NSFastEnumeration must be adopted and implemented by objects used in conjunction with the for language construct used in conjunction with Cocoa objects.
appcontainer	 
apache-lucy	"The Apache Lucy search engine library provides full-text search for dynamic programming languages. It is a ""loose C"" port of the Apache Lucene search engine library for Java."
apk-expansion-files	 
apfloat	a High Performance Arbitrary Precision Arithmetic Package for C++ and Java
apiary.io	Next generation platform for building and using REST APIs.
apache-commons-dateutils	A helper class from Apache commons-lang used for manipulations of Dates or Calendars.
qlogin	 
q-lang	a language by kx.com for querying kdb+ databases.
qjsengine	Provides an environment for evaluating JavaScript code
qgroupbox	a widget class in MeeGo 1.2 Operating System, which provides a group box frame with a title
qfs	an open-source distributed file system software package for large-scale MapReduce or other batch-processing workloads.
qglviewer	QGLViewer allows people programming in OpenGL to play around with three dimensional scenes or to write software that uses OpenGL.
qcolordialog	The QColorDialog class, part of the [tag:Qt] framework, provides a dialog widget for specifying colors.
qbs	[Qt Build Suite](http://doc-snapshot.qt-project.org/qbs/) is a tool that helps simplify the build process for developing projects across multiple platforms. 
baml2006reader	.NET Framework 4.5 class, which processes XAML in optimized BAML form and produces a XAML node stream.
bandit	 
backpressure	 
backbone-support	 
datesetlistener	 
jjquery-ui	 
pydata	 
mwe2	a rewritten backwards compatible implementation of the Modeling Workflow Engine (MWE). It is a declarative, externally configurable generator engine. Users can
sq-server	 
snap.js	 
plugings	 
jqueryi-ui-resizable	 
lolcale	 
.ajax	 
.avi	 
.bashrc	 
.bat	 
.cshtml	 
.csv	 
.deb	 
.dll	 
.flv	 
.getjson	 
.hgignore	 
.ini	 
.jar	 
.java	 
.js	 
.net4	 
.net-cf	 
.net-framework	 
.net-framework-3.5	 
.net-framework-4.0	 
.net-generics	 
.net-ria-services	 
10g	 
11g	 
2038	 
3d-graphics	 
3d-modeling	 
3gs	 
404	 
7z	 
80x86	 
9patch	 
a4j	 
absolute-positioning	 
abstract-classes	 
accdb	 
accent	 
accents	 
access-is-denied	 
accessors	 
accessviolationexception	 
acegi	 
acoustic-echo-cancellatio	 
actionbar	 
action-filters	 
actionlinks	 
actions	 
active-patterns	 
actors	 
add-ins	 
addons	 
adl	 
ado.net-data-services	 
adobe-acrobat	 
adobe-air	 
adobe-dreamweaver	 
adobe-flash	 
adobe-flex	 
adobe-flex-2	 
adobe-flex-3	 
adobe-flex-4	 
ado-net-data-services	 
agile-development	 
ai	 
algorithm-design	 
algorithms	 
align	 
allocations	 
amd64	 
anchor-tag	 
android-cupcake	 
android-device	 
android-donut	 
android-eclair	 
android-froyo	 
android-gingerbread	 
android-honeycomb	 
android-ics	 
android-jelly-bean	 
android-mobile	 
android-sdk	 
animate	 
animations	 
ann	 
annotation	 
anonymous-functions	 
aosp	 
apache-ant	 
apache-cassandra	 
apache-cxf	 
apache-derby	 
apache-hadoop	 
apache-mapreduce	 
apache-solr	 
apache-tomcat	 
apis	 
app.config	 
appengine	 
apple-ios	 
applets	 
application-architecture	 
app-pool	 
aptana-studio	 
arc	 
archetype	 
archives	 
argument	 
aria	 
arithmetic	 
array	 
arrayadapter	 
array-of-objects	 
as2	 
as3	 
as400	 
asm	 
asmjs	 
asp	 
asp.mvc	 
asp.net-mvc2	 
asp.net-mvc-3-validation	 
asp.net-mvc-controllers	 
asp.net-razor-pages	 
asp.net-webmethod	 
asp.net-website	 
aspdotnet	 
asp-mvc	 
asp-net	 
asp-net-mvc	 
asp-net-mvc2	 
aspx	 
assembler	 
assembly-language	 
assets-pipeline	 
assignment	 
association	 
astar	 
async	 
asynctask	 
at	 
atomic-compare-and-swap	 
attachments	 
attribute	 
auth	 
authenticate	 
authorisation	 
autocompleter	 
autocompletion	 
auto-generated	 
auto-generation	 
autoloading	 
auto-properties	 
autowiring	 
aws	 
aws-s3	 
azure-tables	 
b+-tree	 
backbone	 
backbonejs	 
background-segmentation	 
backus-naur-form	 
badges	 
bar-graph	 
baseclasses	 
bashrc	 
bash-script	 
bat	 
batch-files	 
batch-process	 
bdb	 
bdbje	 
bean	 
beans	 
behaviors	 
behaviour	 
behaviours	 
benchmark	 
benchmarks	 
bfs	 
bigmemory	 
binary-search-trees	 
binary-trees	 
bindings	 
bit-field	 
bit-operations	 
bitwise-operations	 
bitwise-shift	 
blackberry-widget	 
blog	 
blogging	 
bom	 
book-exercise	 
bookmark	 
bool	 
boostshared-ptr	 
borders	 
bot	 
branches	 
branching	 
breadcrumb	 
breakpoint	 
breeze.js	 
breezejs	 
browser-back-button	 
browser-caching	 
browsers	 
browser-sniffing	 
bst	 
buffers	 
bug	 
bugfix	 
bug-fixes	 
bug-fixing	 
bug-reports	 
builds	 
buttons	 
bytes	 
bzr	 
c#.net	 
c#-4-0	 
c#-language	 
c2dm	 
c3po	 
cache	 
cache-coherence	 
cached	 
cache-l2	 
cake	 
calender	 
callbacks	 
camelcase	 
canonical	 
career	 
career-advice	 
carriage-returns	 
cascading-style-sheet	 
case-changing	 
case-sensitivity	 
case-studies	 
cast	 
catch	 
cc.net	 
ccnet	 
ce	 
cf	 
cf9	 
cfscript	 
change-log	 
character-escaping	 
characters	 
character-set	 
charset	 
chart	 
charting	 
chicken	 
chrome	 
chrome-os	 
ci	 
circular-references	 
classes	 
classic-asp	 
classic-javascript	 
classloaders	 
clean-code	 
clj	 
clllocation	 
clojure.core.logic	 
closure	 
cloud-computing	 
cloudfront	 
cluster	 
clustered-indexing	 
clustering	 
clusters	 
cms	 
code-audit	 
code-challenge	 
codecs	 
code-generator	 
code-in-interview	 
code-only	 
code-optimization	 
codepage	 
code-smells	 
code-snippet	 
code-style	 
coding-convention	 
coding-guidelines	 
coding-standards	 
coffee	 
collations	 
collection	 
college	 
color	 
colour	 
colours	 
column	 
combination	 
commands	 
comma-separated	 
comment	 
compilation-error	 
compilation-errors	 
compile	 
compile-error	 
compile-errors	 
compiler-construction	 
compiler-error	 
compilers	 
compiling	 
component	 
component-object-model	 
composer	 
compositecontrol	 
compositewpf	 
comprehension	 
computed-column	 
computer-graphics	 
concatenate	 
concurency	 
concurrent	 
conditions	 
condition-variables	 
conflicts	 
connectionpool	 
connectionstrings	 
constant	 
constraint	 
constructors	 
container	 
contentresolver	 
conversation	 
conversations	 
conversions	 
cookie	 
core-java	 
corner	 
course	 
coverage	 
cpp	 
crashes	 
credential	 
credit-cards	 
crlf	 
cronjob	 
cross-origin	 
cross-site-scripting	 
crypto	 
cryptographic	 
crystal	 
crystal-report	 
cs	 
c-sharp	 
cshtml	 
css2	 
css3-transitions	 
css-attributes	 
css-background-image	 
css-clear	 
css-expression	 
css-hacks	 
css-inheritance	 
css-layout	 
css-positioning	 
css-specificity	 
cte	 
ctor	 
ctrl-c	 
ctrl-v	 
cuda-kernel	 
cudamalloc	 
cupcake	 
cursoradapter	 
cursorloader	 
customcomponents	 
custom-control	 
custom-data-generator	 
customize	 
customized	 
custom-macros	 
d3	 
d3d	 
dag	 
dal	 
data-attribute	 
data-attributes	 
database-architecture	 
database-queries	 
databases	 
database-structure	 
databind	 
data-clustering	 
data-frame	 
data-generators	 
data-modelling	 
datasets	 
data-structure	 
datatypes	 
data-warehousing	 
dates	 
daylight	 
daylight-savings	 
daylight-savings-time	 
db	 
dba	 
dbcp	 
dbquery	 
dcvs	 
ddd	 
deadline	 
debug	 
debugger	 
decorators	 
decryption	 
delayed	 
delay-loading	 
delegate	 
deletes	 
dependency	 
dependencyproperty	 
deploy	 
deprecation	 
descriptors	 
deserialize	 
design-pattern	 
destructors	 
di	 
diagnostic	 
dialogs	 
dict	 
diffiehellman	 
digital-signal-processing	 
discretemath	 
discuss	 
discussions	 
disks	 
distributedtransactions	 
divs	 
django-auth	 
django-formsets	 
django-modelforms	 
django-widgets	 
dlinq	 
dlls	 
dnn	 
dnn5	 
docs	 
documentation-generator	 
dogfooding	 
domain	 
domains	 
domain-specific-languages	 
domino	 
dont-repeat-yourself	 
dos-batch	 
dotnet	 
dot-net	 
dotnetopenid	 
double-escaping	 
downloads	 
drag-drop	 
drop-down	 
dropdownlist	 
drscheme	 
drupal-module	 
dsp	 
dte	 
duby	 
duplicate	 
duplicate-code	 
dynamic-array	 
dynamicbinding	 
dynamic-link-library	 
eav	 
ebooks	 
ec2	 
eclipse-galileo	 
eclipse-ganymede	 
eclipse-helios	 
eclipse-plugins	 
ecmascript	 
ef	 
ef4	 
efficiency	 
ejb2	 
ejb-3	 
emacs-lisp	 
email-attachment	 
embedded-db	 
embedded-systems	 
ember	 
emberjs	 
emmett	 
employment	 
encodings	 
encrypt	 
end-of-file	 
entlib	 
enum	 
equal	 
er	 
ergonomic	 
ergonomy	 
error-messages	 
errors	 
es5	 
escape	 
escape-character	 
escaped	 
escaped-characters	 
escape-sequence	 
etree	 
evaluation-order	 
event	 
event-handler	 
event-handlers	 
eventlog	 
excel-xll	 
exceptions	 
exchange	 
exchange-2003	 
exchange-2007	 
exchange-2010	 
